ModuleName,Layer,TargetSkill,PrimaryAliases,ExcludeTerms,RelativeBuildCsPath
AITestSuite,Developer,unreal-module-build,aitestsuite|unreal|module|aitest,email|translation|copywriting,Developer\AITestSuite\AITestSuite.Build.cs
AndroidDeviceDetection,Developer,unreal-module-build,androiddevicedetection|unreal|module|android,email|translation|copywriting,Developer\Android\AndroidDeviceDetection\AndroidDeviceDetection.Build.cs
AndroidPlatformEditor,Developer,unreal-module-build,androidplatformeditor|unreal|module|android,email|translation|copywriting,Developer\Android\AndroidPlatformEditor\AndroidPlatformEditor.Build.cs
AndroidTargetPlatform,Developer,unreal-module-build,androidtargetplatform|unreal|module|android,email|translation|copywriting,Developer\Android\AndroidTargetPlatform\AndroidTargetPlatform.Build.cs
AndroidTargetPlatformControls,Developer,unreal-module-build,androidtargetplatformcontrols|unreal|module|android,email|translation|copywriting,Developer\Android\AndroidTargetPlatformControls\AndroidTargetPlatformControls.Build.cs
AndroidTargetPlatformSettings,Developer,unreal-module-build,androidtargetplatformsettings|unreal|module|android,email|translation|copywriting,Developer\Android\AndroidTargetPlatformSettings\AndroidTargetPlatformSettings.Build.cs
AnimationDataController,Developer,unreal-cpp-foundations,animationdatacontroller|animation|skeletal|rig,email|translation|copywriting,Developer\AnimationDataController\AnimationDataController.build.cs
AnimationWidgets,Developer,unreal-cpp-foundations,animationwidgets|animation|skeletal|rig,email|translation|copywriting,Developer\AnimationWidgets\AnimationWidgets.Build.cs
AssetTools,Developer,unreal-testing-debugging,assettools|asset|cook|package,email|translation|copywriting,Developer\AssetTools\AssetTools.Build.cs
AudioFormatADPCM,Developer,unreal-cpp-foundations,audioformatadpcm|audio|sound|metasound,email|translation|copywriting,Developer\AudioFormatADPCM\AudioFormatADPCM.Build.cs
AudioFormatBink,Developer,unreal-cpp-foundations,audioformatbink|audio|sound|metasound,email|translation|copywriting,Developer\AudioFormatBink\AudioFormatBink.Build.cs
AudioFormatOgg,Developer,unreal-cpp-foundations,audioformatogg|audio|sound|metasound,email|translation|copywriting,Developer\AudioFormatOgg\AudioFormatOgg.Build.cs
AudioFormatOpus,Developer,unreal-cpp-foundations,audioformatopus|audio|sound|metasound,email|translation|copywriting,Developer\AudioFormatOpus\AudioFormatOpus.Build.cs
AudioFormatRad,Developer,unreal-cpp-foundations,audioformatrad|audio|sound|metasound,email|translation|copywriting,Developer\AudioFormatRad\AudioFormatRad.Build.cs
AudioSettingsEditor,Developer,unreal-cpp-foundations,audiosettingseditor|audio|sound|metasound,email|translation|copywriting,Developer\AudioSettingsEditor\AudioSettingsEditor.Build.cs
AutomationController,Developer,unreal-module-build,automationcontroller|unreal|module|automation,email|translation|copywriting,Developer\AutomationController\AutomationController.Build.cs
AutomationDriver,Developer,unreal-module-build,automationdriver|unreal|module|automation,email|translation|copywriting,Developer\AutomationDriver\AutomationDriver.Build.cs
AutomationWindow,Developer,unreal-module-build,automationwindow|unreal|module|automation,email|translation|copywriting,Developer\AutomationWindow\AutomationWindow.Build.cs
BlankModule,Developer,unreal-module-build,blankmodule|unreal|module|blank,email|translation|copywriting,Developer\BlankModule\BlankModule.Build.cs
BSPUtils,Developer,unreal-module-build,bsputils|unreal|module,email|translation|copywriting,Developer\BSPUtils\BSPUtils.Build.cs
CollectionManager,Developer,unreal-module-build,collectionmanager|unreal|module|collection,email|translation|copywriting,Developer\CollectionManager\CollectionManager.Build.cs
CollisionAnalyzer,Developer,unreal-physics-collision,collisionanalyzer|physics|chaos|collision,email|translation|copywriting,Developer\CollisionAnalyzer\CollisionAnalyzer.Build.cs
CookedEditor,Developer,unreal-module-build,cookededitor|unreal|module|cooked,email|translation|copywriting,Developer\CookedEditor\CookedEditor.Build.cs
CookMetadata,Developer,unreal-testing-debugging,cookmetadata|asset|cook|package,email|translation|copywriting,Developer\CookMetadata\CookMetadata.Build.cs
CookOnTheFlyNetServer,Developer,unreal-serialization-savegames,cookontheflynetserver|network|online|replication,email|translation|copywriting,Developer\CookOnTheFlyNetServer\CookOnTheFlyNetServer.Build.cs
CQTest,Developer,unreal-module-build,cqtest|unreal|module,email|translation|copywriting,Developer\CQTest\CQTest.Build.cs
CrashDebugHelper,Developer,unreal-module-build,crashdebughelper|unreal|module|crash,email|translation|copywriting,Developer\CrashDebugHelper\CrashDebugHelper.Build.cs
CSVUtils,Developer,unreal-module-build,csvutils|unreal|module,email|translation|copywriting,Developer\CSVUtils\CSVUtils.build.cs
DatasmithExporter,Developer,unreal-module-build,datasmithexporter|unreal|module|datasmith,email|translation|copywriting,Developer\Datasmith\DatasmithExporter\DatasmithExporter.Build.cs
DatasmithExporterUI,Developer,unreal-umg-lifecycle,datasmithexporterui|ui|umg|slate,email|translation|copywriting,Developer\Datasmith\DatasmithExporterUI\DatasmithExporterUI.Build.cs
DatasmithFacade,Developer,unreal-module-build,datasmithfacade|unreal|module|datasmith,email|translation|copywriting,Developer\Datasmith\DatasmithFacade\DatasmithFacade.Build.cs
DerivedDataCache,Developer,unreal-module-build,deriveddatacache|unreal|module|derived,email|translation|copywriting,Developer\DerivedDataCache\DerivedDataCache.Build.cs
DesktopPlatform,Developer,unreal-module-build,desktopplatform|unreal|module|desktop,email|translation|copywriting,Developer\DesktopPlatform\DesktopPlatform.Build.cs
DesktopWidgets,Developer,unreal-module-build,desktopwidgets|unreal|module|desktop,email|translation|copywriting,Developer\DesktopWidgets\DesktopWidgets.Build.cs
DeveloperToolSettings,Developer,unreal-module-build,developertoolsettings|unreal|module|tool,email|translation|copywriting,Developer\DeveloperToolSettings\DeveloperToolSettings.Build.cs
DevHttp,Developer,unreal-serialization-savegames,devhttp|network|online|replication,email|translation|copywriting,Developer\DevHttp\DevHttp.Build.cs
DeviceManager,Developer,unreal-module-build,devicemanager|unreal|module|device,email|translation|copywriting,Developer\DeviceManager\DeviceManager.Build.cs
DirectoryWatcher,Developer,unreal-module-build,directorywatcher|unreal|module|directory,email|translation|copywriting,Developer\DirectoryWatcher\DirectoryWatcher.Build.cs
DistributedBuildInterface,Developer,unreal-module-build,distributedbuildinterface|unreal|module|distributed,email|translation|copywriting,Developer\DistributedBuildInterface\DistributedBuildInterface.build.cs
DrawPrimitiveDebugger,Developer,unreal-module-build,drawprimitivedebugger|unreal|module|draw,email|translation|copywriting,Developer\DrawPrimitiveDebugger\DrawPrimitiveDebugger.Build.cs
EditorAnalyticsSession,Developer,unreal-module-build,editoranalyticssession|unreal|module|analytics,email|translation|copywriting,Developer\EditorAnalyticsSession\EditorAnalyticsSession.Build.cs
ExternalImagePicker,Developer,unreal-module-build,externalimagepicker|unreal|module|external,email|translation|copywriting,Developer\ExternalImagePicker\ExternalImagePicker.Build.cs
FileUtilities,Developer,unreal-module-build,fileutilities|unreal|module|file,email|translation|copywriting,Developer\FileUtilities\FileUtilities.Build.cs
FunctionalTesting,Developer,unreal-module-build,functionaltesting|unreal|module|functional,email|translation|copywriting,Developer\FunctionalTesting\FunctionalTesting.Build.cs
GeometryProcessingInterfaces,Developer,unreal-module-build,geometryprocessinginterfaces|unreal|module|geometry,email|translation|copywriting,Developer\GeometryProcessingInterfaces\GeometryProcessingInterfaces.Build.cs
GraphColor,Developer,unreal-module-build,graphcolor|unreal|module|graph,email|translation|copywriting,Developer\GraphColor\GraphColor.Build.cs
HierarchicalLODUtilities,Developer,unreal-module-build,hierarchicallodutilities|unreal|module|hierarchical,email|translation|copywriting,Developer\HierarchicalLODUtilities\HierarchicalLODUtilities.Build.cs
Horde,Developer,unreal-module-build,horde|unreal|module,email|translation|copywriting,Developer\Horde\Horde.Build.cs
HotReload,Developer,unreal-module-build,hotreload|unreal|module|hot,email|translation|copywriting,Developer\HotReload\HotReload.Build.cs
IOSPlatformEditor,Developer,unreal-module-build,iosplatformeditor|unreal|module|iosplatform,email|translation|copywriting,Developer\IOS\IOSPlatformEditor\IOSPlatformEditor.Build.cs
IOSTargetPlatform,Developer,unreal-module-build,iostargetplatform|unreal|module|iostarget,email|translation|copywriting,Developer\IOS\IOSTargetPlatform\IOSTargetPlatform.Build.cs
IOSTargetPlatformControls,Developer,unreal-module-build,iostargetplatformcontrols|unreal|module|iostarget,email|translation|copywriting,Developer\IOS\IOSTargetPlatformControls\IOSTargetPlatformControls.Build.cs
IOSTargetPlatformSettings,Developer,unreal-module-build,iostargetplatformsettings|unreal|module|iostarget,email|translation|copywriting,Developer\IOS\IOSTargetPlatformSettings\IOSTargetPlatformSettings.Build.cs
IoStoreUtilities,Developer,unreal-module-build,iostoreutilities|unreal|module|store,email|translation|copywriting,Developer\IoStoreUtilities\IoStoreUtilities.Build.cs
LauncherServices,Developer,unreal-module-build,launcherservices|unreal|module|launcher,email|translation|copywriting,Developer\LauncherServices\LauncherServices.Build.cs
LegacyProjectLauncher,Developer,unreal-module-build,legacyprojectlauncher|unreal|module|legacy,email|translation|copywriting,Developer\LegacyProjectLauncher\LegacyProjectLauncher.Build.cs
LinuxArm64TargetPlatform,Developer,unreal-module-build,linuxarm64targetplatform|unreal|module|linux,email|translation|copywriting,Developer\Linux\LinuxArm64TargetPlatform\LinuxArm64TargetPlatform.Build.cs
LinuxArm64TargetPlatformControls,Developer,unreal-module-build,linuxarm64targetplatformcontrols|unreal|module|linux,email|translation|copywriting,Developer\Linux\LinuxArm64TargetPlatformControls\LinuxArm64TargetPlatformControls.Build.cs
LinuxArm64TargetPlatformSettings,Developer,unreal-module-build,linuxarm64targetplatformsettings|unreal|module|linux,email|translation|copywriting,Developer\Linux\LinuxArm64TargetPlatformSettings\LinuxArm64TargetPlatformSettings.Build.cs
LinuxPlatformEditor,Developer,unreal-module-build,linuxplatformeditor|unreal|module|linux,email|translation|copywriting,Developer\Linux\LinuxPlatformEditor\LinuxPlatformEditor.Build.cs
LinuxTargetPlatform,Developer,unreal-module-build,linuxtargetplatform|unreal|module|linux,email|translation|copywriting,Developer\Linux\LinuxTargetPlatform\LinuxTargetPlatform.Build.cs
LinuxTargetPlatformControls,Developer,unreal-module-build,linuxtargetplatformcontrols|unreal|module|linux,email|translation|copywriting,Developer\Linux\LinuxTargetPlatformControls\LinuxTargetPlatformControls.Build.cs
LinuxTargetPlatformSettings,Developer,unreal-module-build,linuxtargetplatformsettings|unreal|module|linux,email|translation|copywriting,Developer\Linux\LinuxTargetPlatformSettings\LinuxTargetPlatformSettings.Build.cs
LiveCoding,Developer,unreal-module-build,livecoding|unreal|module|live,email|translation|copywriting,Developer\Windows\LiveCoding\LiveCoding.Build.cs
LiveCodingServer,Developer,unreal-module-build,livecodingserver|unreal|module|live,email|translation|copywriting,Developer\Windows\LiveCodingServer\LiveCodingServer.Build.cs
Localization,Developer,unreal-module-build,localization|unreal|module,email|translation|copywriting,Developer\Localization\Localization.Build.cs
LocalizationService,Developer,unreal-module-build,localizationservice|unreal|module|localization,email|translation|copywriting,Developer\LocalizationService\LocalizationService.Build.cs
LogVisualizer,Developer,unreal-module-build,logvisualizer|unreal|module|log,email|translation|copywriting,Developer\LogVisualizer\LogVisualizer.Build.cs
LowLevelTestsRunner,Developer,unreal-module-build,lowleveltestsrunner|unreal|module|low,email|translation|copywriting,Developer\LowLevelTestsRunner\LowLevelTestsRunner.Build.cs
MacPlatformEditor,Developer,unreal-module-build,macplatformeditor|unreal|module|mac,email|translation|copywriting,Developer\Mac\MacPlatformEditor\MacPlatformEditor.Build.cs
MacTargetPlatform,Developer,unreal-module-build,mactargetplatform|unreal|module|mac,email|translation|copywriting,Developer\Mac\MacTargetPlatform\MacTargetPlatform.Build.cs
MacTargetPlatformControls,Developer,unreal-module-build,mactargetplatformcontrols|unreal|module|mac,email|translation|copywriting,Developer\Mac\MacTargetPlatformControls\MacTargetPlatformControls.Build.cs
MacTargetPlatformSettings,Developer,unreal-module-build,mactargetplatformsettings|unreal|module|mac,email|translation|copywriting,Developer\Mac\MacTargetPlatformSettings\MacTargetPlatformSettings.Build.cs
MassEntityTestSuite,Developer,unreal-cpp-foundations,massentitytestsuite|ai|nav|mass,email|translation|copywriting,Developer\MassEntityTestSuite\MassEntityTestSuite.Build.cs
MaterialBaking,Developer,unreal-testing-debugging,materialbaking|render|shader|rhi,email|translation|copywriting,Developer\MaterialBaking\MaterialBaking.Build.cs
MaterialUtilities,Developer,unreal-testing-debugging,materialutilities|render|shader|rhi,email|translation|copywriting,Developer\MaterialUtilities\MaterialUtilities.Build.cs
Merge,Developer,unreal-module-build,merge|unreal|module,email|translation|copywriting,Developer\Merge\Merge.Build.cs
MeshBoneReduction,Developer,unreal-module-build,meshbonereduction|unreal|module|mesh,email|translation|copywriting,Developer\MeshBoneReduction\MeshBoneReduction.Build.cs
MeshBuilder,Developer,unreal-module-build,meshbuilder|unreal|module|mesh,email|translation|copywriting,Developer\MeshBuilder\MeshBuilder.Build.cs
MeshBuilderCommon,Developer,unreal-module-build,meshbuildercommon|unreal|module|mesh,email|translation|copywriting,Developer\MeshBuilderCommon\MeshBuilderCommon.Build.cs
MeshDescriptionOperations,Developer,unreal-module-build,meshdescriptionoperations|unreal|module|mesh,email|translation|copywriting,Developer\MeshDescriptionOperations\MeshDescriptionOperations.Build.cs
MeshMergeUtilities,Developer,unreal-module-build,meshmergeutilities|unreal|module|mesh,email|translation|copywriting,Developer\MeshMergeUtilities\MeshMergeUtilities.Build.cs
MeshReductionInterface,Developer,unreal-module-build,meshreductioninterface|unreal|module|mesh,email|translation|copywriting,Developer\MeshReductionInterface\MeshReductionInterface.Build.cs
MeshUtilities,Developer,unreal-module-build,meshutilities|unreal|module|mesh,email|translation|copywriting,Developer\MeshUtilities\MeshUtilities.Build.cs
MeshUtilitiesEngine,Developer,unreal-module-build,meshutilitiesengine|core|engine|uobject,email|translation|copywriting,Developer\MeshUtilitiesEngine\MeshUtilitiesEngine.Build.cs
MessageLog,Developer,unreal-module-build,messagelog|unreal|module|message,email|translation|copywriting,Developer\MessageLog\MessageLog.Build.cs
MetalShaderFormat,Developer,unreal-testing-debugging,metalshaderformat|render|shader|rhi,email|translation|copywriting,Developer\Apple\MetalShaderFormat\MetalShaderFormat.Build.cs
NaniteBuilder,Developer,unreal-testing-debugging,nanitebuilder|render|shader|rhi,email|translation|copywriting,Developer\NaniteBuilder\NaniteBuilder.Build.cs
NaniteUtilities,Developer,unreal-testing-debugging,naniteutilities|render|shader|rhi,email|translation|copywriting,Developer\NaniteUtilities\NaniteUtilities.Build.cs
OutputLog,Developer,unreal-module-build,outputlog|unreal|module|output,email|translation|copywriting,Developer\OutputLog\OutputLog.Build.cs
PakFileUtilities,Developer,unreal-module-build,pakfileutilities|unreal|module|pak,email|translation|copywriting,Developer\PakFileUtilities\PakFileUtilities.Build.cs
PhysicsUtilities,Developer,unreal-physics-collision,physicsutilities|physics|chaos|collision,email|translation|copywriting,Developer\PhysicsUtilities\PhysicsUtilities.Build.cs
Profiler,Developer,unreal-module-build,profiler|unreal|module,email|translation|copywriting,Developer\Profiler\Profiler.Build.cs
ProfilerClient,Developer,unreal-module-build,profilerclient|unreal|module|profiler,email|translation|copywriting,Developer\ProfilerClient\ProfilerClient.Build.cs
ProfilerMessages,Developer,unreal-module-build,profilermessages|unreal|module|profiler,email|translation|copywriting,Developer\ProfilerMessages\ProfilerMessages.Build.cs
ProfilerService,Developer,unreal-module-build,profilerservice|unreal|module|profiler,email|translation|copywriting,Developer\ProfilerService\ProfilerService.Build.cs
ProfileVisualizer,Developer,unreal-module-build,profilevisualizer|unreal|module|profile,email|translation|copywriting,Developer\ProfileVisualizer\ProfileVisualizer.Build.cs
QuadricMeshReduction,Developer,unreal-module-build,quadricmeshreduction|unreal|module|mesh,email|translation|copywriting,Developer\MeshSimplifier\QuadricMeshReduction.Build.cs
S3Client,Developer,unreal-module-build,s3client|unreal|module|client,email|translation|copywriting,Developer\S3Client\S3Client.Build.cs
ScreenShotComparison,Developer,unreal-module-build,screenshotcomparison|unreal|module|screen,email|translation|copywriting,Developer\ScreenShotComparison\ScreenShotComparison.Build.cs
ScreenShotComparisonTools,Developer,unreal-module-build,screenshotcomparisontools|unreal|module|screen,email|translation|copywriting,Developer\ScreenShotComparisonTools\ScreenShotComparisonTools.Build.cs
ScriptDisassembler,Developer,unreal-module-build,scriptdisassembler|unreal|module|script,email|translation|copywriting,Developer\ScriptDisassembler\ScriptDisassembler.Build.cs
SessionFrontend,Developer,unreal-module-build,sessionfrontend|unreal|module|session,email|translation|copywriting,Developer\SessionFrontend\SessionFrontend.Build.cs
Settings,Developer,unreal-module-build,settings|unreal|module,email|translation|copywriting,Developer\Settings\Settings.Build.cs
SettingsEditor,Developer,unreal-module-build,settingseditor|unreal|module|settings,email|translation|copywriting,Developer\SettingsEditor\SettingsEditor.Build.cs
ShaderCompilerCommon,Developer,unreal-testing-debugging,shadercompilercommon|render|shader|rhi,email|translation|copywriting,Developer\ShaderCompilerCommon\ShaderCompilerCommon.Build.cs
ShaderFormatD3D,Developer,unreal-testing-debugging,shaderformatd3d|render|shader|rhi,email|translation|copywriting,Developer\Windows\ShaderFormatD3D\ShaderFormatD3D.Build.cs
ShaderFormatOpenGL,Developer,unreal-testing-debugging,shaderformatopengl|render|shader|rhi,email|translation|copywriting,Developer\ShaderFormatOpenGL\ShaderFormatOpenGL.Build.cs
ShaderFormatVectorVM,Developer,unreal-testing-debugging,shaderformatvectorvm|render|shader|rhi,email|translation|copywriting,Developer\ShaderFormatVectorVM\ShaderFormatVectorVM.Build.cs
ShaderPreprocessor,Developer,unreal-testing-debugging,shaderpreprocessor|render|shader|rhi,email|translation|copywriting,Developer\ShaderPreprocessor\ShaderPreprocessor.Build.cs
SharedSettingsWidgets,Developer,unreal-module-build,sharedsettingswidgets|unreal|module|shared,email|translation|copywriting,Developer\SharedSettingsWidgets\SharedSettingsWidgets.Build.cs
SkeletalMeshUtilitiesCommon,Developer,unreal-cpp-foundations,skeletalmeshutilitiescommon|animation|skeletal|rig,email|translation|copywriting,Developer\SkeletalMeshUtilitiesCommon\SkeletalMeshUtilitiesCommon.Build.cs
SlackIntegrations,Developer,unreal-module-build,slackintegrations|unreal|module|slack,email|translation|copywriting,Developer\SlackIntegrations\SlackIntegrations.Build.cs
SlateFileDialogs,Developer,unreal-umg-lifecycle,slatefiledialogs|ui|umg|slate,email|translation|copywriting,Developer\SlateFileDialogs\SlateFileDialogs.Build.cs
SlateFontDialog,Developer,unreal-umg-lifecycle,slatefontdialog|ui|umg|slate,email|translation|copywriting,Developer\SlateFontDialog\SlateFontDialog.Build.cs
SlateReflector,Developer,unreal-umg-lifecycle,slatereflector|ui|umg|slate,email|translation|copywriting,Developer\SlateReflector\SlateReflector.Build.cs
SourceCodeAccess,Developer,unreal-module-build,sourcecodeaccess|unreal|module|code,email|translation|copywriting,Developer\SourceCodeAccess\SourceCodeAccess.Build.cs
SourceControl,Developer,unreal-module-build,sourcecontrol|unreal|module|control,email|translation|copywriting,Developer\SourceControl\SourceControl.Build.cs
SourceControlCheckInPrompt,Developer,unreal-module-build,sourcecontrolcheckinprompt|unreal|module|control,email|translation|copywriting,Developer\SourceControlCheckInPrompt\SourceControlCheckInPrompt.Build.cs
SourceControlViewport,Developer,unreal-module-build,sourcecontrolviewport|unreal|module|control,email|translation|copywriting,Developer\SourceControlViewport\SourceControlViewport.Build.cs
StandaloneRenderer,Developer,unreal-testing-debugging,standalonerenderer|render|shader|rhi,email|translation|copywriting,Developer\StandaloneRenderer\StandaloneRenderer.Build.cs
StructUtilsTestSuite,Developer,unreal-module-build,structutilstestsuite|unreal|module|struct,email|translation|copywriting,Developer\StructUtilsTestSuite\StructUtilsTestSuite.Build.cs
TargetDeviceServices,Developer,unreal-module-build,targetdeviceservices|unreal|module|target,email|translation|copywriting,Developer\TargetDeviceServices\TargetDeviceServices.Build.cs
TargetPlatform,Developer,unreal-module-build,targetplatform|unreal|module|target,email|translation|copywriting,Developer\TargetPlatform\TargetPlatform.Build.cs
TextureBuild,Developer,unreal-module-build,texturebuild|unreal|module|texture,email|translation|copywriting,Developer\TextureBuild\TextureBuild.Build.cs
TextureBuildUtilities,Developer,unreal-module-build,texturebuildutilities|unreal|module|texture,email|translation|copywriting,Developer\TextureBuildUtilities\TextureBuildUtilities.Build.cs
TextureCompressor,Developer,unreal-module-build,texturecompressor|unreal|module|texture,email|translation|copywriting,Developer\TextureCompressor\TextureCompressor.Build.cs
TextureFormat,Developer,unreal-module-build,textureformat|unreal|module|texture,email|translation|copywriting,Developer\TextureFormat\TextureFormat.Build.cs
TextureFormatASTC,Developer,unreal-module-build,textureformatastc|unreal|module|texture,email|translation|copywriting,Developer\TextureFormatASTC\TextureFormatASTC.Build.cs
TextureFormatDXT,Developer,unreal-module-build,textureformatdxt|unreal|module|texture,email|translation|copywriting,Developer\TextureFormatDXT\TextureFormatDXT.Build.cs
TextureFormatETC2,Developer,unreal-module-build,textureformatetc2|unreal|module|texture,email|translation|copywriting,Developer\TextureFormatETC2\TextureFormatETC2.Build.cs
TextureFormatIntelISPCTexComp,Developer,unreal-module-build,textureformatintelispctexcomp|unreal|module|texture,email|translation|copywriting,Developer\TextureFormatIntelISPCTexComp\TextureFormatIntelISPCTexComp.Build.cs
TextureFormatUncompressed,Developer,unreal-module-build,textureformatuncompressed|unreal|module|texture,email|translation|copywriting,Developer\TextureFormatUncompressed\TextureFormatUncompressed.Build.cs
ToolMenus,Developer,unreal-module-build,toolmenus|unreal|module|tool,email|translation|copywriting,Developer\ToolMenus\ToolMenus.Build.cs
ToolWidgets,Developer,unreal-module-build,toolwidgets|unreal|module|tool,email|translation|copywriting,Developer\ToolWidgets\ToolWidgets.Build.cs
TraceAnalysis,Developer,unreal-module-build,traceanalysis|unreal|module|trace,email|translation|copywriting,Developer\TraceAnalysis\TraceAnalysis.Build.cs
TraceInsights,Developer,unreal-module-build,traceinsights|unreal|module|trace,email|translation|copywriting,Developer\TraceInsights\TraceInsights.Build.cs
TraceInsightsCore,Developer,unreal-module-build,traceinsightscore|core|engine|uobject,email|translation|copywriting,Developer\TraceInsightsCore\TraceInsightsCore.Build.cs
TraceInsightsFrontend,Developer,unreal-module-build,traceinsightsfrontend|unreal|module|trace,email|translation|copywriting,Developer\TraceInsightsFrontend\TraceInsightsFrontend.Build.cs
TraceServices,Developer,unreal-module-build,traceservices|unreal|module|trace,email|translation|copywriting,Developer\TraceServices\TraceServices.Build.cs
TraceTools,Developer,unreal-module-build,tracetools|unreal|module|trace,email|translation|copywriting,Developer\TraceTools\TraceTools.build.cs
TranslationEditor,Developer,unreal-module-build,translationeditor|unreal|module|translation,email|translation|copywriting,Developer\TranslationEditor\TranslationEditor.Build.cs
TreeMap,Developer,unreal-module-build,treemap|unreal|module|tree,email|translation|copywriting,Developer\TreeMap\TreeMap.Build.cs
TurnkeyIO,Developer,unreal-module-build,turnkeyio|unreal|module|turnkey,email|translation|copywriting,Developer\TurnkeyIO\TurnkeyIO.Build.cs
TVOSTargetPlatform,Developer,unreal-module-build,tvostargetplatform|unreal|module|tvostarget,email|translation|copywriting,Developer\IOS\TVOSTargetPlatform\TVOSTargetPlatform.Build.cs
TVOSTargetPlatformControls,Developer,unreal-module-build,tvostargetplatformcontrols|unreal|module|tvostarget,email|translation|copywriting,Developer\IOS\TVOSTargetPlatformControls\TVOSTargetPlatformControls.Build.cs
TVOSTargetPlatformSettings,Developer,unreal-module-build,tvostargetplatformsettings|unreal|module|tvostarget,email|translation|copywriting,Developer\IOS\TVOSTargetPlatformSettings\TVOSTargetPlatformSettings.Build.cs
UbaCoordinatorHorde,Developer,unreal-module-build,ubacoordinatorhorde|unreal|module|uba,email|translation|copywriting,Developer\UbaCoordinatorHorde\UbaCoordinatorHorde.Build.cs
UncontrolledChangelists,Developer,unreal-module-build,uncontrolledchangelists|unreal|module|uncontrolled,email|translation|copywriting,Developer\UncontrolledChangelists\UncontrolledChangelists.Build.cs
UndoHistory,Developer,unreal-module-build,undohistory|unreal|module|undo,email|translation|copywriting,Developer\UndoHistory\UndoHistory.Build.cs
UnsavedAssetsTracker,Developer,unreal-module-build,unsavedassetstracker|unreal|module|unsaved,email|translation|copywriting,Developer\UnsavedAssetsTracker\Source\UnsavedAssetsTracker.Build.cs
Virtualization,Developer,unreal-module-build,virtualization|unreal|module,email|translation|copywriting,Developer\Virtualization\Virtualization.Build.cs
VisualGraphUtils,Developer,unreal-module-build,visualgraphutils|unreal|module|visual,email|translation|copywriting,Developer\VisualGraphUtils\VisualGraphUtils.Build.cs
VulkanShaderFormat,Developer,unreal-testing-debugging,vulkanshaderformat|render|shader|rhi,email|translation|copywriting,Developer\VulkanShaderFormat\VulkanShaderFormat.Build.cs
WidgetRegistration,Developer,unreal-umg-lifecycle,widgetregistration|ui|umg|slate,email|translation|copywriting,Developer\WidgetRegistration\WidgetRegistration.Build.cs
WindowsPlatformEditor,Developer,unreal-module-build,windowsplatformeditor|unreal|module|windows,email|translation|copywriting,Developer\Windows\WindowsPlatformEditor\WindowsPlatformEditor.Build.cs
WindowsTargetPlatform,Developer,unreal-module-build,windowstargetplatform|unreal|module|windows,email|translation|copywriting,Developer\Windows\WindowsTargetPlatform\WindowsTargetPlatform.Build.cs
WindowsTargetPlatformControls,Developer,unreal-module-build,windowstargetplatformcontrols|unreal|module|windows,email|translation|copywriting,Developer\Windows\WindowsTargetPlatfomControls\WindowsTargetPlatformControls.Build.cs
WindowsTargetPlatformSettings,Developer,unreal-module-build,windowstargetplatformsettings|unreal|module|windows,email|translation|copywriting,Developer\Windows\WindowsTargetPlatformSettings\WindowsTargetPlatformSettings.Build.cs
Zen,Developer,unreal-module-build,zen|unreal|module,email|translation|copywriting,Developer\Zen\Zen.Build.cs
ActionableMessage,Editor,unreal-module-build,actionablemessage|unreal|module|actionable,email|translation|copywriting,Editor\ActionableMessage\ActionableMessage.build.cs
ActorPickerMode,Editor,unreal-module-build,actorpickermode|unreal|module|actor,email|translation|copywriting,Editor\ActorPickerMode\ActorPickerMode.Build.cs
AddContentDialog,Editor,unreal-module-build,addcontentdialog|unreal|module|add,email|translation|copywriting,Editor\AddContentDialog\AddContentDialog.Build.cs
AdvancedPreviewScene,Editor,unreal-module-build,advancedpreviewscene|unreal|module|advanced,email|translation|copywriting,Editor\AdvancedPreviewScene\AdvancedPreviewScene.Build.cs
AIGraph,Editor,unreal-module-build,aigraph|unreal|module,email|translation|copywriting,Editor\AIGraph\AIGraph.Build.cs
AnimationBlueprintEditor,Editor,unreal-cpp-foundations,animationblueprinteditor|animation|skeletal|rig,email|translation|copywriting,Editor\AnimationBlueprintEditor\AnimationBlueprintEditor.Build.cs
AnimationBlueprintLibrary,Editor,unreal-cpp-foundations,animationblueprintlibrary|animation|skeletal|rig,email|translation|copywriting,Editor\AnimationBlueprintLibrary\AnimationBlueprintLibrary.build.cs
AnimationEditMode,Editor,unreal-cpp-foundations,animationeditmode|animation|skeletal|rig,email|translation|copywriting,Editor\AnimationEditMode\AnimationEditMode.Build.cs
AnimationEditor,Editor,unreal-cpp-foundations,animationeditor|animation|skeletal|rig,email|translation|copywriting,Editor\AnimationEditor\AnimationEditor.Build.cs
AnimationEditorWidgets,Editor,unreal-cpp-foundations,animationeditorwidgets|animation|skeletal|rig,email|translation|copywriting,Editor\AnimationEditorWidgets\AnimationEditorWidgets.Build.cs
AnimationModifiers,Editor,unreal-cpp-foundations,animationmodifiers|animation|skeletal|rig,email|translation|copywriting,Editor\AnimationModifiers\AnimationModifiers.Build.cs
AnimationSettings,Editor,unreal-cpp-foundations,animationsettings|animation|skeletal|rig,email|translation|copywriting,Editor\AnimationSettings\AnimationSettings.Build.cs
AnimGraph,Editor,unreal-cpp-foundations,animgraph|animation|skeletal|rig,email|translation|copywriting,Editor\AnimGraph\AnimGraph.Build.cs
